Ranking,Company,Nation,HQ,Sector,Industry,Web
272,Brookfield Asset Management,Canada,"Toronto, Ontario, Canada",Financials,Diversified Financials,www.brookfield.com
273,China United Network Communications,China,Beijing,Telecommunications,Telecommunications,www.chinaunicom-a.com
274,Facebook,U.S.,"Menlo Park, Calif.",Technology,Internet Services and Retailing,www.facebook.com
275,Honeywell International,U.S.,"Morris Plains, N.J.",Technology,"Electronics, Electrical Equip.",www.honeywell.com
276,Merck,U.S.,"Kenilworth, N.J.",Health Care,Pharmaceuticals,www.merck.com
277,Lufthansa Group,Germany,"Cologne, Germany",Transportation,Airlines,www.lufthansagroup.com
278,Rio Tinto Group,Britain,London,Energy,"Mining, Crude-Oil Production",www.riotinto.com
279,Mitsubishi Electric,Japan,Tokyo,Technology,"Electronics, Electrical Equip.",www.mitsubishielectric.com
280,China Merchants Group,China,Hong Kong,Transportation,"Mail, Package, and Freight Delivery",www.cmhk.com
281,SABIC,Saudi Arabia,Riyadh,Chemicals,Chemicals,www.sabic.com
282,Power Corp. of Canada,Canada,"Montreal, Quebec, Canada",Financials,"Insurance: Life, Health (stock)",www.powercorporation.com
283,Jardine Matheson,China,Hong Kong,Motor Vehicles & Parts,Motor Vehicles & Parts,www.jardines.com
284,ACS,Spain,Madrid,Engineering & Construction,Engineering & Construction,www.grupoacs.com
285,Pegatron,Taiwan,Taipei,Technology,"Electronics, Electrical Equip.",www.pegatroncorp.com
286,Volvo,Sweden,"G��_teborg, Sweden",Motor Vehicles & Parts,Motor Vehicles & Parts,www.volvogroup.com
287,Magna International,Canada,"Aurora, Ontario, Canada",Motor Vehicles & Parts,Motor Vehicles & Parts,www.magna.com
288,Shaanxi Yanchang Petroleum (Group),China,"Xi'an, China",Energy,"Mining, Crude-Oil Production",www.sxycpc.com
289,China Huaneng Group,China,Beijing,Energy,Energy,www.chng.com.cn
